deal_count,location,price,shop,title
100+人累计付款,广东,258,深圳正品手机店铺,MIUI/小米 Xiaomi 8 青春版全网通4G骁龙学生老人游戏智能手机
100+人累计付款,广东,258,深圳正品手机店铺,MIUI/小米 Redmi 9红米9A大屏幕大电池老人学生游戏工作智能手机
9人累计付款,广东,899,oksj数码旗舰店,分期免息+送碎屏保小米红米Note12 Turbo5G手机官网旗舰店官方正
48人累计付款,浙江,2209,百亿补贴官方频道,Xiaomi Civi 3新品手机小米Civi3百亿补贴新款拍照智能小米手机
100+人累计付款,浙江,2999,联盟优选手机数码,【百亿补贴16+512】MIUI/小米 Redmi K60 至尊版天玑游戏大内存
100+人累计付款,广东,1199,星期日数码好店,【顺丰包邮】MIUI/小米 Redmi Note 11 5G
4人累计付款,江苏,1649,淘百亿数码商城,【官方正品/现货速发】MIUI/小米 Redmi Note 12 Turbo正品1TB版
100+人累计付款,浙江,2799,联盟优选手机数码,【百亿补贴16+256】MIUI/小米 Redmi K60 至尊版天玑游戏大内存
100+人累计付款,广东,571,小米领英专卖店,新品【现货速发】小米红米12C 手机5000mAh大电量大屏幕智能小米官方专卖店官网4G同款正品Redmi10A 9A
58人累计付款,广东,659,翔泰世纪通讯,MIUI/小米 Redmi Note 11 5G手机官方同款正品老人学生红米note11
100+人累计付款,广东,999,百亿优选店,【百亿补贴】MIUI/小米 Redmi 12C 4+64G
20人累计付款,山东,1099,三际数码官方旗舰店,现货速发送碎屏宝MIUI/小米 Redmi Note 13 5G新款手机官方旗舰店官网正品红米note13系列Redmi note13智能机
24人累计付款,广东,3029,热图数码专营店,|顺丰当天发】 小米12Spro 骁龙8旗舰处理器5G手机小米官方旗舰店正品官网新款xiaomi 12S pro
100+人累计付款,广东,9999,百亿优选店,【百亿补贴】MIUI/小米 Redmi Note 12 5G 6+128G
10人累计付款,湖南,1080,山川数码,MIUI/小米 11展示机高性能拍照游戏骁龙888旗舰曲面屏学生老人机
99人累计付款,广东,1999,好再莱数码通讯,新款MIUI/小米 Redmi Note 13 Pro+ 5G手机官方小米红米note13pro
49人累计付款,广东,2230,上海立信数码,新品MIUI/小米 Redmi K60 Pro 官方正品官网旗舰小米手机红米K60E
79人累计付款,广东,1328,之江数码,新品MIUI/小米 Redmi Note 13 Pro手机红米note13pro小米官网手机
3人累计付款,广东,3579,机御旗舰店,Xiaomi 12S Pro智能游戏拍照徕卡5g手机小米12sp系列新款官方旗舰店官网正品
82人累计付款,广东,547,小米领英专卖店,正品速发】xiaomi/小米 红米10A大电量备用老年人手机学生智能机官方专卖店新品4g智能千元机官网正品红米9A
44人累计付款,广东,3999,好再莱数码通讯,MIUI/小米 Xiaomi 13 5G手机旗舰原装正品新小米手机13系列
5人累计付款,广东,924,博星通讯,MIUI/小米 Redmi K30 Pro 5G变焦版 骁龙865官方旗舰红米k40手机
86人累计付款,广东,789,东鑫瑞数码专营店,分期免息/当天发 小米红米Note13 12+256G 5G手机大电池智能游戏拍照官方旗舰正品学生小米13pro/12tpro/12r
19人累计付款,广东,2480,上海鸿鹄林数码,MIUI/小米 Redmi K60 至尊版小米手机官方红米k60至尊版
7人累计付款,广东,1399,佰分购旗舰店,【双11预售】Redmi Note 13 Pro手机红米2亿像素小米智能机学生note小米官方旗舰店官网备用机note13pro
30人累计付款,广东,785,正机通讯,【现货速发】MIUI/小米 Redmi Note 11 5G 小金刚品质
9人累计付款,上海,1649,bihee旗舰店,现货速发/赠碎屏宝】Redmi红米Note 12 Turbo手机官方旗舰店正品官网新品红米note12tpro小米手机note12turbo
9人累计付款,广东,1249,佰分购旗舰店,【24期分期 赠原厂碎屏险】Redmi Note 12T Pro手机红米note手机小米手机小米官方旗舰店官网新品正品note12t
26人累计付款,广东,1838,之江数码,MIUI/小米 Redmi Note 13 Pro+手机官方小米红米手机note13pro+
300+人累计付款,广东,2499,明通数码手机,MIUI/小米 Redmi K60 手机官方正品官网旗舰红米k60系列
38人累计付款,广东,1228,机御旗舰店,【详情下拉领券50元】小米红米 Redmi Note 12T Pro手机官方旗舰店官网新品正品红米note12t系列小米手机tpro
100+人累计付款,广东,258,深圳正品手机店铺,MIUI/小米 Xiaomi 8 青春版全网通4G骁龙学生老人游戏智能手机
100+人累计付款,广东,258,深圳正品手机店铺,MIUI/小米 Redmi 9红米9A大屏幕大电池老人学生游戏工作智能手机
100+人累计付款,广东,1199,星期日数码好店,【顺丰包邮】MIUI/小米 Redmi Note 11 5G
100+人累计付款,广东,999,百亿优选店,【百亿补贴】MIUI/小米 Redmi 12C 4+64G
4人累计付款,江苏,1649,淘百亿数码商城,【官方正品/现货速发】MIUI/小米 Redmi Note 12 Turbo正品1TB版
100+人累计付款,广东,571,小米领英专卖店,新品【现货速发】小米红米12C 手机5000mAh大电量大屏幕智能小米官方专卖店官网4G同款正品Redmi10A 9A
48人累计付款,广东,829,上海立信数码,MIUI/小米 Redmi Note 11 5G手机官方同款正品老人学生红米note11
2人累计付款,广东,2299,小米满分购专卖店,【24期分期 赠原厂碎屏险】Redmi K60手机红米k60红米小米手机小米官方旗舰店官网redmik60骁龙
4人累计付款,广东,1175,创润数码店,现货速发 MIUI/小米 Redmi Note 12T Pro 5G手机智能游戏学生正品
1人累计付款,广东,2099,中国移动手机官方旗舰店,Redmi红米K60新品5G手机官网正品小米官方旗舰店新款redmi k60小米手机pro
32人累计付款,北京,1099,小米直营官方店,MIUI/小米 Redmi Note 13 5G手机1亿像素红米note手机小米手机小
23人累计付款,广东,936,上海鸿鹄林数码,新品 MIUI/小米 Redmi Note 12 5G手机官方正品红米note 12Pro
8人累计付款,广东,1830,正机通讯,【现货速发】MIUI/小米 Redmi K60 第二代骁龙8+拍照游戏手机
44人累计付款,广东,1529,创宇嘉汇数码专营店,新品现货/送好礼!小米红米Note12turbo 12+512GB 5G手机快充拍照游戏智能小米官方旗舰正品店官网正品
16人累计付款,上海,825,bihee旗舰店,【现货速发】小米/红米Redmi Note 11 5G 5000mAh大电量智能红米手机官方小米官方旗舰店千元5G
49人累计付款,广东,1409,博星通讯,MIUI/小米 Xiaomi 12X 5G手机官方旗舰官网正品骁龙870小米12Pro
9人累计付款,浙江,919,中国移动手机官方旗舰店,【限时优惠】小米Redmi 红米Note 12 5G手机官旗舰店新品OLED屏幕智能红外线note12系列全新小金刚
22人累计付款,广东,3144,力拓数码通讯,【品牌直降】小米13MIUI/小米 Xiaomi 13骁龙8 Gen2徕卡智能手机
16人累计付款,山东,1299,三际数码官方旗舰店,现货24期分期送碎屏宝 MIUI/小米 Redmi Note 12T Pro新款手机官方旗舰店note12tpro官网正品红米手机note12
92人累计付款,上海,503,挞申数码专营店,[天猫正品]Xiaomi/红米9A全网通4G智能手机小米10A学生老年人备用机智能手机小米天猫专营店红米10A
59人累计付款,广东,470,翔远贸易企业店,MIUI/小米 Redmi Note 9 4G 6000mAh大电量智能拍照手机正品红米
62人累计付款,北京,3299,淘百甄选,MIUI/小米 Redmi K60 16GB+512GB手机
3人累计付款,河南,1659,惠更好手机数码,MIUI/小米 Redmi K60E 小米红米5G手机 天玑8200 2K直屏 长续航
100+人累计付款,浙江,2999,联盟优选手机数码,【百亿补贴16+512】MIUI/小米 Redmi K60 至尊版天玑游戏大内存
44人累计付款,广东,383,翔远贸易企业店,MIUI/小米 REDMI 9A大电量屏幕游戏备用老年人redmi10a手机红米9a
58人累计付款,广东,659,翔泰世纪通讯,MIUI/小米 Redmi Note 11 5G手机官方同款正品老人学生红米note11
92人累计付款,上海,503,挞申数码专营店,[天猫正品]Xiaomi/红米9A全网通4G智能手机小米10A学生老年人备用机智能手机小米天猫专营店红米10A
100+人累计付款,广东,512,小米领英专卖店,【新品速发选小米耳机】红米9A xiaomi/小米 redmi9A全网通4G老人学生手机小米官方旗舰正品大屏游戏备用机8a
78人累计付款,广东,999,百亿优选店,【百亿补贴】MIUI/小米 REDMI 10A 4+64G
100+人累计付款,浙江,2799,联盟优选手机数码,【百亿补贴16+256】MIUI/小米 Redmi K60 至尊版天玑游戏大内存
40人累计付款,广东,509,机御旗舰店,官方正品Xiaomi/小米红米9A大电量老年人智能手机大电池千元机学生便宜10新款红米9a官方旗舰店官网redmi 9a
30人累计付款,广东,785,正机通讯,【现货速发】MIUI/小米 Redmi Note 11 5G 小金刚品质
29人累计付款,广东,499,上海立信数码,MIUI/小米 Redmi 9A 红米9a新手机9pro新品小米手机官网旗舰8a
200+人累计付款,广东,659,优优可达数码,MIUI/小米 Redmi 12C
12人累计付款,广东,729,上海鸿鹄林数码,全新Xiaomi/小米 Redmi K30 4G手机红米k30pro官方旗舰10尊享版4g
5人累计付款,广东,547,正机通讯,【现货速发】MIUI/小米 Redmi 12C 红米小米手机大音学生老年备用
20人累计付款,山东,1099,三际数码官方旗舰店,现货速发送碎屏宝MIUI/小米 Redmi Note 13 5G新款手机官方旗舰店官网正品红米note13系列Redmi note13智能机
32人累计付款,北京,1099,小米直营官方店,MIUI/小米 Redmi Note 13 5G手机1亿像素红米note手机小米手机小
48人累计付款,广东,829,上海立信数码,MIUI/小米 Redmi Note 11 5G手机官方同款正品老人学生红米note11
99人累计付款,广东,1999,好再莱数码通讯,新款MIUI/小米 Redmi Note 13 Pro+ 5G手机官方小米红米note13pro
300+人累计付款,广东,1569,好再莱数码通讯,MIUI/小米 Redmi Note 12 Turbo 官方正品手机小米手机note12t
38人累计付款,广东,1228,机御旗舰店,【详情下拉领券50元】小米红米 Redmi Note 12T Pro手机官方旗舰店官网新品正品红米note12t系列小米手机tpro
24人累计付款,上海,1514,Strict优品数码,首单直降/苹果 iPhone XS Max正品双卡苹果xr全网通苹果xsmax手机
9人累计付款,广东,2034,iphone品牌直销大世界,Apple/苹果 iPhone 11 Pro Max国行 双卡 学生手机 苹果11 Promax
28人累计付款,广东,2294,iphone品牌直销大世界,分期免息Apple/苹果 iPhone 12 Pro Max国行双卡5G手机 苹果12pro
3000+人累计付款,浙江,7999,天天好货手机数码店企业店,【百亿补贴】Apple/苹果 iPhone 15 Pro 全网通5G手机新品国行
1万+人累计付款,浙江,10999,天天好货手机数码店企业店,【百亿补贴】Apple/苹果 iPhone 15 Pro Max全网通5G手机
21人累计付款,广东,1630,HPAP数码,Apple/苹果 iPhone 11苹果11 Pro Max国行全网通顺丰手机双卡分期
12人累计付款,浙江,5299,天猫优品官方直营,Apple/苹果 iPhone 15 新品5G手机全新原装正品全网通国行
3000+人累计付款,浙江,99999,浩酷3C数码,Apple/苹果 iPhone 15
29人累计付款,广东,1000,iPhone手机奥莱折扣店,Apple/苹果 iPhoneX手机正品全网通4G学生苹果手机工作备用机分期
36人累计付款,浙江,2300,可能数码,Apple/苹果 iPhone 11 苹果11 Pro Max国行双卡 全网通4G苹果手机
39人累计付款,广东,509,优品数码之家,小米Redmi12C全网通4G5000毫安大电池长续航游戏拍照新款老人手机
55人累计付款,广东,188,MiFeng数码直销店,MIUI/小米 REDMI 9A 红米10a大屏幕大电池学生老人便宜智能手机
23人累计付款,广东,936,上海鸿鹄林数码,新品 MIUI/小米 Redmi Note 12 5G手机官方正品红米note 12Pro
7人累计付款,广东,1399,佰分购旗舰店,【双11预售】Redmi Note 13 Pro手机红米2亿像素小米智能机学生note小米官方旗舰店官网备用机note13pro
59人累计付款,广东,470,翔远贸易企业店,MIUI/小米 Redmi Note 9 4G 6000mAh大电量智能拍照手机正品红米
10人累计付款,广东,1218,安佳邦电子商务,MIUI/小米 Redmi Note 12T Pro 5G正品新手机红米note12tpro旗舰
44人累计付款,浙江,569,喵速达电器官方旗舰店,【到手569 阿里自营】Redmi小米红米10A 手机备用机学生老人机5000mAh大电量大音量小米官方旗舰店
9人累计付款,广东,1249,佰分购旗舰店,【24期分期 赠原厂碎屏险】Redmi Note 12T Pro手机红米note手机小米手机小米官方旗舰店官网新品正品note12t
4人累计付款,上海,969,bihee旗舰店,现货速发+赠碎屏宝】小米/红米Redmi Note 12 5G手机小米官旗舰店官网正品红米手机12Pro红米note12系列pro+
