标题,bv,时长,播放量,弹幕数量,评论数量,日期时间
《教父》背后的美国黑帮史,BV11K41127wE,14:44,79058,268,124,2023-01-04 18:25:20
美国当代“吃席”之书！《白噪音》电影+原著解读：空中的毒云引发的思考,BV1HP4y1i7K8,16:32,53867,333,245,2023-01-02 09:12:35
《赎罪》电影+原著小说历史心理学深度解读：英国人的民族“劣根性”,BV1XW4y1K7uD,22:20,113002,701,334,2022-12-27 20:18:35
《闪灵》电影+原著小说历史心理学深度解析：一部“恐怖”的美国发家史,BV1g44y1Z7Y2,35:55,221454,1517,659,2022-12-16 20:33:15
《小黄人》深度解析：复古元素大盘点，70的年代复古我最high,BV1CD4y1a7cy,16:32,52355,450,90,2022-12-11 17:51:38
《老无所依》电影+原著小说特有情节解读：美国80年代的社会撕裂,BV1wP411T74Y,18:54,133694,763,220,2022-12-10 09:04:14
《潜伏》里的一面镜子：谢若林，照出四大真相,BV1qv4y1d7ru,09:25,97791,399,108,2022-12-01 08:50:00
如果《琅琊榜》的大女主是秦般弱，她会和谁在一起（结尾有彩蛋）,BV1fG4y1R7An,14:20,121920,474,221,2022-11-25 09:30:00
《穿靴子的猫》是教小朋友骗人吗？欧洲童话里还有哪些可疑三观？,BV1RK411d7H6,11:17,70926,212,201,2022-11-23 18:43:31
如果华妃变成堕姬，年羹尧能进上弦么《鬼灭之刃》&《甄嬛传》,BV133411f7dc,11:41,103957,313,156,2022-11-21 19:43:05
如果余则成，爱的是站长太太,BV1xK411Z7MH,16:52,229089,521,314,2022-11-17 21:22:06
