Num,Hotel Name,Price,Rating,Comments Count,Address,Href
1,7天连锁酒店(北京五棵松301解放军总医院店),¥293起,4.9,共2766条点评,西四环中路82号院13号楼,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
2,格林豪泰(北京首都机场T3馨港店),¥275起,4.6,共2483条点评,李桥镇李天路甲1号,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
3,北京隐居繁华青年旅舍,¥46起,4.7,共1110条点评,十里河弘善家园205号楼1-107,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
4,北京零点青年旅社,¥49起,4.7,共718条点评,弘善家园204号楼,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
5,白玉兰酒店(北京西客站店),¥691起,4.7,共2452条点评,马连道北路1号,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
6,锦江之星(北京首都国际机场新国展地铁站店),¥204起,4.7,共1155条点评,天竺镇府前二街1号14楼,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
7,7天优品Premium(北京首都机场店),¥218起,4.5,共1768条点评,天竺镇府前二街1号院10号楼,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
8,7天优品酒店(北京花园桥地铁站店),¥578起,4.6,共2164条点评,车公庄西路33号,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
9,7天连锁酒店(北京上地清河地铁站店),¥384起,4.3,共1465条点评,上地六街28号,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
10,如家商旅酒店(北京清华大学五道口地铁站店),¥594起,4.8,共1387条点评,成府路35号-5,https://www.ly.com/hotel/hoteldetail?hotelId=00101387&filterList=&inDate=2024-02-13&outDate=2024-02-16&traceToken=%7C%2a%7CcityId%3A101%7C%2a%7CqId%3Acb5920b9-6064-4635-aa6e-0c4661e368fa%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A101%7C%2a%7Cscene_ids%3A0%7C%2a%7Csmz%3AB%7C%2a%7Cbkt%3Ar3%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A101387%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C&prc=293
