Num,Hotel Name,Price,Rating,Comments Count,Address
2,7天连锁酒店(北京首都机场二店),¥155起,4.6,共2588条点评,天竺镇天柱东路4号润通大厦A座
3,格林豪泰(北京首都机场T3馨港店),¥268起,4.6,共2476条点评,李桥镇李天路甲1号
4,北京隐居繁华青年旅舍,¥46起,4.7,共1110条点评,十里河弘善家园205号楼1-107
5,7天连锁酒店(北京五棵松301解放军总医院店),¥281起,4.9,共2766条点评,西四环中路82号院13号楼
6,京康隆酒店(北京传媒大学西门店),¥106起,4.6,共1610条点评,定福庄西街甲6号
7,格林豪泰(北京朝阳区马泉营地铁站店),¥245起,4.8,共876条点评,马泉营西路旧货市场西门东行270米
8,如家酒店(北京上地安宁庄东路店),¥313起,4.8,共357条点评,清河小营安宁庄东路18号20号楼
9,7天优品酒店(北京花园桥地铁站店),¥583起,4.6,共2164条点评,车公庄西路33号
10,如家酒店(北京潘家园店),¥617起,4.8,共1838条点评,弘善家园304号
11,西柚青年旅宿(北京国展三元桥店),¥84起,4.8,共1259条点评,朝阳党校路静安庄一区5号楼
12,锦江之星酒店(北京酒仙桥电子城朝阳高铁站店),¥306起,4.8,共1161条点评,驼房营西里甲1号
13,途客中国轻居酒店(首都机场店),¥317起,4.9,共133条点评,首都机场南路甲一号
14,7天连锁酒店(北京国家会议中心北沙滩地铁站店),¥292起,4.4,共883条点评,北沙滩一号院中国农机院西门院内
15,如家商旅酒店(北京清华大学五道口地铁站店),¥522起,4.8,共1386条点评,成府路35号-5
16,北岸·轻居酒店(北京中关村大钟寺广场店),¥446起,4.9,共1402条点评,中关村东路123号2号楼
17,格林豪泰联盟酒店(北京西站北广场世纪坛医院),¥493起,4.6,共1981条点评,羊坊店路21号
18,速8酒店(北京五道口地铁站店),¥475起,4.6,共1593条点评,北四环中路279号展春园小区19号
19,IU酒店(北京中关村人民大学苏州街地铁站店),¥397起,4.7,共1330条点评,海淀南路28号
20,汉庭酒店(北京世纪金源店),¥349起,4.4,共956条点评,远大路1号世纪金源B区三层
21,汉庭酒店(北京阜成门阜外医院店),¥562起,4.9,共718条点评,南礼士路3号海通大厦B座
22,希岸·轻雅酒店(北京顺义地铁站店),¥218起,4.8,共1219条点评,仁和镇中山南街8号1幢3至5层(与便民街交汇处)
23,汉庭酒店(北京世纪金源店),¥349起,4.4,共956条点评,远大路1号世纪金源B区三层
24,格林豪泰(北京云岗路店),¥246起,4.9,共347条点评,云岗路140号
25,格林豪泰(北京林萃路店),¥307起,4.8,共450条点评,东升镇马坊村观景园小区西侧底商(马坊新村二期A号公建)三、四、五层
26,锐·柏茵酒店(北京玉泉路水魔方店),¥198起,4.4,共594条点评,小屯路4号3号楼
27,七巧屋酒店(北京南站草桥地铁站店),¥281起,4.8,共3171条点评,草桥欣园四区一号楼商业1-2层
28,汉庭酒店(北京石景山万达店),¥324起,4.9,共763条点评,鲁谷大街51号(与张仪村交叉口)
29,7天连锁酒店(北京海淀上庄店),¥226起,4.6,共758条点评,上庄镇常乐路镇政府往北500米路西
30,汉庭酒店(北京五道口清华园店),¥400起,4.9,共430条点评,双清路14号院
31,汉庭酒店(北京朝阳站火车站店),¥420起,4.8,共1230条点评,石佛营东里甲1号3号楼
32,7天优品酒店(北京天坛医院丰台火车站店),¥292起,4.2,共496条点评,新华街一里14号
33,汉庭酒店(北京石景山苹果园店),¥384起,4.9,共388条点评,"苹果园南路甲11号1幢3,4,5层"
34,7天优品酒店(北京东四南锣鼓巷店),¥669起,4.6,共1494条点评,东四六条45号
35,格林豪泰酒店(北京天坛光明桥肿瘤医院店),¥551起,4.7,共1673条点评,劲松7区725号
36,汉庭酒店(北京师范大学积水潭店),¥546起,4.8,共884条点评,学院南路4号
37,速8酒店(北京奥林匹克公园宝盛里店),¥224起,4.4,共373条点评,永泰庄东路南口东滨河4号
38,7天连锁酒店(北京鸟巢国家会议中心店),¥373起,4.4,共1085条点评,小营路8号
39,汉庭酒店(北京中关村店),¥440起,4.9,共684条点评,丹棱街16号海兴大厦B座
40,北京白塔之光酒店,¥162起,4.8,共706条点评,阜成门内大街185号
41,汉庭酒店(北京中关村学院桥地铁站店),¥591起,5.0,共433条点评,学院路31号6号楼
42,汉庭酒店(北京华贸远洋中心店),¥442起,4.9,共645条点评,延静里中街3号院11号楼(红领巾桥南)
43,汉庭酒店(北京酒仙桥798店),¥349起,4.9,共589条点评,酒仙桥路13号
44,格林豪泰智选酒店(北京首都机场新国展地铁站店),¥224起,4.6,共413条点评,空港工业园A区天柱西路24号
45,美程青居酒店(王府井协和医院店),¥685起,4.5,共1193条点评,灯市口大街57号
46,IU酒店(北京丽泽商务区七里庄地铁站店),¥388起,4.6,共1041条点评,万丰路300号
47,派柏·云酒店(北京崇文门地铁站同仁医院店),¥238起,4.4,共286条点评,国瑞北路70号
48,汉庭酒店(北京西直门店),¥613起,4.8,共1126条点评,西直门北大街联慧路88号
49,汉庭酒店(北京五棵松体育馆万达广场店),¥518起,4.8,共730条点评,西翠路17号院24号楼
50,如家华驿精选酒店(北京杜家坎园博园店),¥311起,4.9,共313条点评,长兴路12号中体奥园一区30号楼
51,速8酒店(北京国展西坝河地铁站店),¥462起,4.5,共1247条点评,西坝河北里甲8号三层317
52,如宜酒店(中关村学院南路店),¥513起,4.9,共93条点评,学院南路15号院10号楼2层
53,心动酒店(北京三里屯国展店),¥346起,4.5,共880条点评,新源街45-1号
54,金泰之家酒店(北京南站店),¥703起,4.9,共1607条点评,永外彭庄甲58号
