id,prodName,pubDate,lowPrice,highPrice,avgPrice,place
1582938,大白菜,2024-03-10 00:00:00,0.55,1.0,0.78,冀鲁鄂
1582937,娃娃菜,2024-03-10 00:00:00,1.8,2.2,2.0,豫鄂云
1582936,小白菜,2024-03-10 00:00:00,1.3,1.4,1.35,冀鲁
1582935,圆白菜,2024-03-10 00:00:00,0.4,0.7,0.55,鄂冀川
1582934,圆白菜,2024-03-10 00:00:00,1.9,2.1,2.0,鲁冀
1582933,紫甘蓝,2024-03-10 00:00:00,1.3,1.4,1.35,冀鲁宁
1582932,芹菜,2024-03-10 00:00:00,2.3,2.6,2.45,鲁津
1582931,西芹,2024-03-10 00:00:00,2.8,3.2,3.0,鲁辽
1582930,菠菜,2024-03-10 00:00:00,1.8,2.0,1.9,冀鲁
1582929,莴笋,2024-03-10 00:00:00,1.0,2.0,1.5,浙闽云
1582928,团生菜,2024-03-10 00:00:00,1.5,2.5,2.0,云
1582927,罗马生菜,2024-03-10 00:00:00,2.0,2.3,2.15,云
1582926,散叶生菜,2024-03-10 00:00:00,1.5,2.0,1.75,冀辽
1582925,油菜,2024-03-10 00:00:00,1.0,1.5,1.25,鲁
1582924,香菜,2024-03-10 00:00:00,1.8,3.0,2.4,鲁
1582923,茴香,2024-03-10 00:00:00,3.0,3.3,3.15,冀
1582922,韭菜,2024-03-10 00:00:00,2.5,3.5,3.0,冀
1582921,苦菊,2024-03-10 00:00:00,2.5,3.0,2.75,辽
1582920,油麦菜,2024-03-10 00:00:00,2.5,3.3,2.9,冀鲁云
1582919,散菜花,2024-03-10 00:00:00,1.5,2.8,2.15,云闽
1582918,绿菜花,2024-03-10 00:00:00,2.0,2.4,2.2,浙
1582917,绿豆芽,2024-03-10 00:00:00,0.95,1.0,0.98,
1582916,黄豆芽,2024-03-10 00:00:00,0.85,0.9,0.88,
1582915,番茄,2024-03-10 00:00:00,1.2,1.8,1.5,冀云川
1582914,番茄,2024-03-10 00:00:00,2.0,2.5,2.25,冀鲁川
1582913,番茄,2024-03-10 00:00:00,3.0,3.6,3.3,蒙鲁
1582912,黄瓜,2024-03-10 00:00:00,1.5,3.0,2.25,鲁辽云
1582911,黄瓜,2024-03-10 00:00:00,2.8,3.8,3.3,鲁
1582910,小黄瓜,2024-03-10 00:00:00,4.1,4.1,4.1,辽冀
1582909,小黄瓜,2024-03-10 00:00:00,5.0,5.0,5.0,辽鲁
1582908,茄子,2024-03-10 00:00:00,1.5,3.0,2.25,鲁云冀
1582907,长茄,2024-03-10 00:00:00,2.0,4.0,3.0,辽
1582906,线茄,2024-03-10 00:00:00,2.5,5.3,3.9,闽
1582905,广茄,2024-03-10 00:00:00,2.5,3.0,2.75,闽云
1582904,冬瓜,2024-03-10 00:00:00,1.3,1.4,1.35,海桂
1582903,冬瓜,2024-03-10 00:00:00,0.9,0.95,0.93,新
1582902,毛冬瓜,2024-03-10 00:00:00,1.8,2.2,2.0,云
1582901,架豆,2024-03-10 00:00:00,3.0,5.3,4.15,云
1582900,豆王,2024-03-10 00:00:00,3.5,7.9,5.7,云鲁
1582899,扁豆,2024-03-10 00:00:00,4.5,7.5,6.0,云鲁
1582898,豇豆,2024-03-10 00:00:00,4.5,5.8,5.15,云海
1582897,白不老,2024-03-10 00:00:00,4.5,8.0,6.25,云
1582896,油豆,2024-03-10 00:00:00,4.5,9.6,7.05,云粤
1582895,毛豆,2024-03-10 00:00:00,3.5,3.8,3.65,粤闽
1582894,花生,2024-03-10 00:00:00,5.5,6.5,6.0,苏
1582893,玉米,2024-03-10 00:00:00,2.0,2.2,2.1,海
1582892,玉米,2024-03-10 00:00:00,2.6,2.7,2.65,海
1582891,苦瓜,2024-03-10 00:00:00,4.0,4.5,4.25,鲁
1582890,丝瓜,2024-03-10 00:00:00,4.5,5.5,5.0,鲁冀
1582889,西葫芦,2024-03-10 00:00:00,2.0,2.4,2.2,鲁
1582888,贝贝南瓜,2024-03-10 00:00:00,2.2,2.7,2.45,蒙
1582887,金丝南瓜,2024-03-10 00:00:00,2.0,2.1,2.05,蒙
1582886,板栗南瓜,2024-03-10 00:00:00,1.5,2.5,2.0,蒙新
1582885,南北瓜,2024-03-10 00:00:00,1.0,1.7,1.35,鄂川云
1582884,尖椒,2024-03-10 00:00:00,2.0,4.0,3.0,冀辽鲁粤
