id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1582938,大白菜,1186,蔬菜,NULL,,0.55,1.0,0.78,冀鲁鄂,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582937,娃娃菜,1186,蔬菜,NULL,,1.8,2.2,2.0,豫鄂云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582936,小白菜,1186,蔬菜,NULL,,1.3,1.4,1.35,冀鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582935,圆白菜,1186,蔬菜,NULL,,0.4,0.7,0.55,鄂冀川,露地,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582934,圆白菜,1186,蔬菜,NULL,,1.9,2.1,2.0,鲁冀,大棚,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582933,紫甘蓝,1186,蔬菜,NULL,,1.3,1.4,1.35,冀鲁宁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582932,芹菜,1186,蔬菜,NULL,,2.3,2.6,2.45,鲁津,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582931,西芹,1186,蔬菜,NULL,,2.8,3.2,3.0,鲁辽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582930,菠菜,1186,蔬菜,NULL,,1.8,2.0,1.9,冀鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582929,莴笋,1186,蔬菜,NULL,,1.0,2.0,1.5,浙闽云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582928,团生菜,1186,蔬菜,NULL,,1.5,2.5,2.0,云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582927,罗马生菜,1186,蔬菜,NULL,,2.0,2.3,2.15,云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582926,散叶生菜,1186,蔬菜,NULL,,1.5,2.0,1.75,冀辽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582925,油菜,1186,蔬菜,NULL,,1.0,1.5,1.25,鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582924,香菜,1186,蔬菜,NULL,,1.8,3.0,2.4,鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582923,茴香,1186,蔬菜,NULL,,3.0,3.3,3.15,冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582922,韭菜,1186,蔬菜,NULL,,2.5,3.5,3.0,冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582921,苦菊,1186,蔬菜,NULL,,2.5,3.0,2.75,辽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582920,油麦菜,1186,蔬菜,NULL,,2.5,3.3,2.9,冀鲁云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582919,散菜花,1186,蔬菜,NULL,,1.5,2.8,2.15,云闽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582918,绿菜花,1186,蔬菜,NULL,,2.0,2.4,2.2,浙,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582917,绿豆芽,1186,蔬菜,NULL,,0.95,1.0,0.98,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582916,黄豆芽,1186,蔬菜,NULL,,0.85,0.9,0.88,,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582915,番茄,1186,蔬菜,NULL,,1.2,1.8,1.5,冀云川,黑框,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582914,番茄,1186,蔬菜,NULL,,2.0,2.5,2.25,冀鲁川,纸箱\泡沫箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582913,番茄,1186,蔬菜,NULL,,3.0,3.6,3.3,蒙鲁,白框,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582912,黄瓜,1186,蔬菜,NULL,,1.5,3.0,2.25,鲁辽云,袋\箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582911,黄瓜,1186,蔬菜,NULL,,2.8,3.8,3.3,鲁,干花\鲜花,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582910,小黄瓜,1186,蔬菜,NULL,,4.1,4.1,4.1,辽冀,旱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582909,小黄瓜,1186,蔬菜,NULL,,5.0,5.0,5.0,辽鲁,荷兰,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582908,茄子,1186,蔬菜,NULL,,1.5,3.0,2.25,鲁云冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582907,长茄,1186,蔬菜,NULL,,2.0,4.0,3.0,辽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582906,线茄,1186,蔬菜,NULL,,2.5,5.3,3.9,闽,箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582905,广茄,1186,蔬菜,NULL,,2.5,3.0,2.75,闽云,箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582904,冬瓜,1186,蔬菜,NULL,,1.3,1.4,1.35,海桂,吊,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582903,冬瓜,1186,蔬菜,NULL,,0.9,0.95,0.93,新,地,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582902,毛冬瓜,1186,蔬菜,NULL,,1.8,2.2,2.0,云,长\小,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582901,架豆,1186,蔬菜,NULL,,3.0,5.3,4.15,云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582900,豆王,1186,蔬菜,NULL,,3.5,7.9,5.7,云鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582899,扁豆,1186,蔬菜,NULL,,4.5,7.5,6.0,云鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582898,豇豆,1186,蔬菜,NULL,,4.5,5.8,5.15,云海,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582897,白不老,1186,蔬菜,NULL,,4.5,8.0,6.25,云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582896,油豆,1186,蔬菜,NULL,,4.5,9.6,7.05,云粤,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582895,毛豆,1186,蔬菜,NULL,,3.5,3.8,3.65,粤闽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582894,花生,1186,蔬菜,NULL,,5.5,6.5,6.0,苏,泥\洗,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582893,玉米,1186,蔬菜,NULL,,2.0,2.2,2.1,海,黄,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582892,玉米,1186,蔬菜,NULL,,2.6,2.7,2.65,海,白\花,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582891,苦瓜,1186,蔬菜,NULL,,4.0,4.5,4.25,鲁,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582890,丝瓜,1186,蔬菜,NULL,,4.5,5.5,5.0,鲁冀,长\短,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582889,西葫芦,1186,蔬菜,NULL,,2.0,2.4,2.2,鲁,箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582888,贝贝南瓜,1186,蔬菜,NULL,,2.2,2.7,2.45,蒙,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582887,金丝南瓜,1186,蔬菜,NULL,,2.0,2.1,2.05,蒙,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582886,板栗南瓜,1186,蔬菜,NULL,,1.5,2.5,2.0,蒙新,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582885,南北瓜,1186,蔬菜,NULL,,1.0,1.7,1.35,鄂川云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582884,尖椒,1186,蔬菜,NULL,,2.0,4.0,3.0,冀辽鲁粤,袋\箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582883,红尖椒,1186,蔬菜,NULL,,3.0,4.0,3.5,鲁皖,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582882,美人椒,1186,蔬菜,NULL,,5.0,6.0,5.5,鲁云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582881,螺丝椒,1186,蔬菜,NULL,,3.0,5.5,4.25,鲁辽,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582880,柿子椒,1186,蔬菜,NULL,,2.8,3.7,3.25,鲁辽,袋\箱,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582879,线椒,1186,蔬菜,NULL,,3.0,4.5,3.75,鲁,新,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582878,杭椒,1186,蔬菜,NULL,,3.5,5.0,4.25,鲁冀,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582877,小米椒,1186,蔬菜,NULL,,6.0,7.0,6.5,云,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582876,彩椒,1186,蔬菜,NULL,,9.5,13.0,11.25,鲁,红\黄,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582875,白萝卜,1186,蔬菜,NULL,,0.6,0.8,0.7,鄂川,,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
1582874,心里美,1186,蔬菜,NULL,,0.9,1.0,0.95,冀,泥\洗,斤,2024-03-10 00:00:00,NULL,138,NULL,admin,NULL,NULL,NULL
